Start - 2025-01-21T09:16:07.151310742
Analyzed shard: /mnt/win10/Users/IEUser/init.bat; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/NTUSER.DAT{1c3790b4-b8ad-11e8-aa21-e41d2d101530}.TM.blf; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j317686482204.6004; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j590206207926.2996; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j767355237597.5540; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j886569105729.1572; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j923507623836.5940; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.ansible_async/j981481586874.5904; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/.vbox_version; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/3D Objects/desktop.ini; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/ansible/inventory; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/ansible/playbook.yml; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/AppData; generation = -1; valid shard = false
[Error]	Could not read shard, IO exception: /mnt/win10/Users/IEUser/Application Data
[Error]	Could not read shard, IO exception: /mnt/win10/Users/IEUser/Application Data
Analyzed shard: /mnt/win10/Users/IEUser/Contacts/desktop.ini; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Contacts/IEUSER.CON; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Cookies; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/01F22128.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/0A8AE703.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/0BD4255D.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/43D8E93F.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/4465CDCE.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/4C7C1D2F.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/7934FE27.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/990423D0.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/9EF78656.DUM; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ACTION_O.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ADAPTIVE.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ADOPT000.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/ADOPTING.PDF; generation = -1; valid shard = false
Analyzed shard: /mnt/win10/Users/IEUser/Desktop/AGENT_BA.PDF; generation = -1; valid shard = false
